id,name,state_id,state_code,country_id,country_code,latitude,longitude
153,Banaj,629,BR,3,AL,40.82492,19.84074
154,Bashkia Berat,629,BR,3,AL,40.69997,19.94983
170,Bashkia Kuçovë,629,BR,3,AL,40.82489,19.9535
180,Bashkia Poliçan,629,BR,3,AL,40.58608,20.04535
186,Bashkia Skrapar,629,BR,3,AL,40.56036,20.25477
191,Berat,629,BR,3,AL,40.70583,19.95222
280,Çorovodë,629,BR,3,AL,40.50417,20.22722
219,Kuçovë,629,BR,3,AL,40.80028,19.91667
238,Poliçan,629,BR,3,AL,40.61222,20.09806
242,Rrethi i Beratit,629,BR,3,AL,40.66667,20
253,Rrethi i Kuçovës,629,BR,3,AL,40.83333,19.91667
258,Rrethi i Skraparit,629,BR,3,AL,40.55,20.26667
273,Ura Vajgurore,629,BR,3,AL,40.76889,19.87778
155,Bashkia Bulqizë,610,9,3,AL,41.47152,20.33192
165,Bashkia Klos,610,9,3,AL,41.50826,20.07107
176,Bashkia Mat,610,9,3,AL,41.63317,20.01228
193,Bulqizë,610,9,3,AL,41.49167,20.22194
194,Burrel,610,9,3,AL,41.61028,20.00889
209,Klos,610,9,3,AL,41.50694,20.08667
236,Peshkopi,610,9,3,AL,41.685,20.42889
243,Rrethi i Bulqizës,610,9,3,AL,41.5,20.33333
246,Rrethi i Dibrës,610,9,3,AL,41.75,20.33333
256,Rrethi i Matit,610,9,3,AL,41.58333,20.08333
272,Ulëz,610,9,3,AL,41.68278,19.89333
159,Bashkia Durrës,639,DR,3,AL,41.42743,19.4869
168,Bashkia Krujë,639,DR,3,AL,41.50091,19.72571
185,Bashkia Shijak,639,DR,3,AL,41.33558,19.58977
197,Durrës,639,DR,3,AL,41.32355,19.45469
198,Durrës District,639,DR,3,AL,41.3166,19.45
203,Fushë-Krujë,639,DR,3,AL,41.47833,19.71778
214,Krujë,639,DR,3,AL,41.50917,19.79278
250,Rrethi i Krujës,639,DR,3,AL,41.55,19.75
265,Shijak,639,DR,3,AL,41.34556,19.56722
269,Sukth,639,DR,3,AL,41.38056,19.53778
152,Ballsh,631,4,3,AL,40.59889,19.73472
157,Bashkia Divjakë,631,4,3,AL,40.95716,19.52364
160,Bashkia Fier,631,4,3,AL,40.72937,19.4869
174,Bashkia Mallakastër,631,4,3,AL,40.55669,19.77347
179,Bashkia Patos,631,4,3,AL,40.67793,19.65591
196,Divjakë,631,4,3,AL,40.99667,19.52944
200,Fier,631,4,3,AL,40.72389,19.55611
201,Fier-Çifçi,631,4,3,AL,40.71667,19.56667
227,Lushnjë,631,4,3,AL,40.94194,19.705
234,Patos,631,4,3,AL,40.68333,19.61944
235,Patos Fshat,631,4,3,AL,40.64278,19.65083
241,Roskovec,631,4,3,AL,40.7375,19.70222
254,Rrethi i Mallakastrës,631,4,3,AL,40.55,19.78333
158,Bashkia Dropull,621,GJ,3,AL,39.98584,20.30529
